user_id,ip_address,latitude,longitude,timezone,device_info,typing_speed,mouse_speed,login_time,geo_velocity
101,192.168.1.10,40.7128,-74.006,EST,Windows,4.5,300.0,2025-02-25 08:30:00,0.0
101,192.168.1.10,40.754743,-73.987547,EST,Windows,5.6,964.7,2025-02-25 09:19:00,6.019832898771172
101,19.58.78.139,-33.8688,151.2093,Australia/Sydney,Windows,11.67,1379.12,2025-02-27 09:19:00,333.13851885544926
101,60.225.166.51,35.6895,139.6917,Asia/Tokyo,Android,8.59,756.94,2025-03-02 05:19:00,115.09743923999565
101,127.115.224.215,51.5074,-0.1278,Europe/London,macOS,2.13,1966.42,2025-03-05 07:19:00,129.17198510828942
102,192.168.1.11,34.0522,-118.244,PST,MacOS,5.0,320.0,2025-02-25 09:45:00,0.0
102,192.168.1.11,34.038852,-118.256828,PST,MacOS,12.36,1394.64,2025-02-25 10:04:00,5.991571203496836
102,59.82.136.242,43.65107,-79.347015,America/Toronto,iOS,9.21,422.5,2025-02-27 11:04:00,71.40922730792896
102,120.190.220.137,19.076,72.8777,Asia/Kolkata,iOS,12.21,1641.39,2025-03-02 00:04:00,204.70660299574024
102,234.56.233.91,41.0082,28.9784,Europe/Istanbul,Windows,8.6,1203.22,2025-03-05 12:04:00,57.25608704285733
103,192.168.1.12,51.5074,-0.1278,GMT,iOS,3.8,280.0,2025-02-25 10:15:00,0.0
103,192.168.1.12,51.545604,-0.125447,GMT,iOS,13.9,1759.51,2025-02-25 10:58:00,5.931927178824034
103,37.171.176.101,51.5074,-0.1278,Europe/London,iOS,6.02,919.33,2025-02-27 16:58:00,0.0787261940399486
103,244.220.105.217,-33.8688,151.2093,Australia/Sydney,iOS,11.03,672.74,2025-03-02 08:58:00,265.53057707525835
103,169.98.11.6,-23.5505,-46.6333,America/Sao_Paulo,Android,2.75,504.76,2025-03-06 07:58:00,140.602362850771
104,192.168.1.13,35.6895,139.692,JST,Android,4.2,310.0,2025-02-25 11:00:00,0.0
104,192.168.1.13,35.665197,139.681389,JST,Android,5.78,1727.66,2025-02-25 11:28:00,6.144224556163316
104,39.170.255.31,51.5074,-0.1278,Europe/London,iOS,11.57,1436.12,2025-02-28 04:28:00,147.08962448993188
104,249.161.105.137,-23.5505,-46.6333,America/Sao_Paulo,Windows,11.99,1289.43,2025-03-02 16:28:00,158.2902368060393
104,135.200.190.224,-6.2088,106.8456,Asia/Jakarta,macOS,9.68,919.38,2025-03-06 03:28:00,188.29957220379285
105,192.168.1.14,48.8566,2.3522,CET,Linux,4.9,330.0,2025-02-25 12:10:00,0.0
105,192.168.1.14,48.893408,2.361062,CET,Linux,4.87,879.37,2025-02-25 12:51:00,6.0641927118195875
105,53.215.140.128,19.076,72.8777,Asia/Mumbai,Android,8.07,1734.02,2025-02-28 00:51:00,116.81329398702103
105,175.49.157.122,51.5074,-0.1278,Europe/London,Windows,12.36,684.78,2025-03-02 17:51:00,110.64163889463585
105,45.135.77.2,-6.2088,106.8456,Asia/Jakarta,Linux,5.22,1681.85,2025-03-06 04:51:00,141.1826378974139
106,192.168.1.15,55.7558,37.6173,MSK,Windows,3.7,270.0,2025-02-25 13:20:00,0.0
106,192.168.1.15,55.800687,37.619778,MSK,Windows,7.79,1907.89,2025-02-25 14:10:00,5.9923423085681184
106,181.242.24.114,-23.5505,-46.6333,America/Sao_Paulo,iOS,13.01,491.11,2025-02-28 01:10:00,200.13793084695462
106,78.177.38.185,35.6895,139.6917,Asia/Tokyo,Linux,7.98,990.12,2025-03-02 08:10:00,336.9866608355194
106,212.183.113.39,-33.9249,18.4241,Africa/Johannesburg,Android,8.29,1613.86,2025-03-05 08:10:00,204.60569717663645
107,192.168.1.16,39.9042,116.407,CST,MacOS,5.3,340.0,2025-02-25 14:30:00,0.0
107,192.168.1.16,39.91282,116.367249,CST,MacOS,4.6,1150.8,2025-02-25 15:06:00,5.872362236627888
107,212.82.91.192,25.276987,55.296249,Asia/Dubai,iOS,4.68,1604.21,2025-02-27 23:06:00,104.14340470160164
107,169.213.157.29,35.6895,139.6917,Asia/Tokyo,Android,14.52,1564.22,2025-03-02 12:06:00,129.94660787909572
107,48.156.74.105,-6.2088,106.8456,Asia/Jakarta,Android,9.32,583.82,2025-03-05 22:06:00,70.55466501548422
108,192.168.1.17,-33.8688,151.209,AEST,iOS,4.0,290.0,2025-02-25 15:40:00,0.0
108,192.168.1.17,-33.87224,151.19729,AEST,iOS,11.73,1391.77,2025-02-25 15:51:00,6.255277330261239
108,21.136.44.78,25.276987,55.296249,Asia/Dubai,Windows,13.36,665.23,2025-02-28 06:51:00,191.27522316556843
108,2.111.204.5,19.076,72.8777,Asia/Kolkata,Android,13.71,1333.83,2025-03-02 11:51:00,36.50988161556993
108,206.65.75.48,-33.9249,18.4241,Africa/Johannesburg,Linux,6.74,1501.34,2025-03-05 00:51:00,135.1239990676828
109,192.168.1.18,37.7749,-122.419,PST,Android,5.1,350.0,2025-02-25 16:50:00,0.0
109,192.168.1.18,37.74607,-122.429723,PST,Android,9.37,1838.47,2025-02-25 17:23:00,6.075402738799348
109,229.198.115.138,35.6895,139.6917,Asia/Tokyo,Linux,14.58,1420.45,2025-02-28 07:23:00,133.41499664177073
109,207.230.94.71,51.5074,-0.1278,Europe/London,iOS,7.13,1405.79,2025-03-02 21:23:00,154.1730144840874
109,132.247.127.220,40.7128,-74.006,America/New_York,Linux,9.73,1089.21,2025-03-06 09:23:00,66.31226040067288
110,192.168.1.19,-23.5505,-46.6333,BRT,Linux,4.3,310.0,2025-02-25 17:00:00,0.0
110,192.168.1.19,-23.534806,-46.615469,BRT,Linux,13.34,1331.97,2025-02-25 17:25:00,6.047491888874395
110,177.94.135.113,-23.5505,-46.6333,America/Sao_Paulo,macOS,8.02,1791.55,2025-02-28 02:25:00,0.04420681205317541
110,35.251.119.237,-33.8688,151.2093,Australia/Sydney,macOS,13.93,1965.66,2025-03-03 00:25:00,190.81749244033207
110,128.225.151.178,43.65107,-79.347015,America/Toronto,Linux,2.02,310.98,2025-03-05 20:25:00,228.9781478986844
111,192.168.1.20,19.076,72.8777,IST,Windows,4.6,330.0,2025-02-25 18:10:00,0.0
111,192.168.1.20,19.088336,72.856122,IST,Windows,12.21,579.61,2025-02-25 18:37:00,5.8891959447990985
111,129.48.155.128,-23.5505,-46.6333,America/Sao_Paulo,Windows,4.99,1411.24,2025-02-28 09:37:00,218.60684020615744
111,97.30.185.43,43.65107,-79.347015,America/Toronto,iOS,6.83,819.11,2025-03-03 02:37:00,125.91331067662804
111,248.41.212.208,-23.5505,-46.6333,America/Sao_Paulo,macOS,2.62,1825.9,2025-03-06 00:37:00,116.91950277115461
112,192.168.1.21,52.52,13.405,CET,MacOS,5.2,320.0,2025-02-25 19:20:00,0.0
112,192.168.1.21,52.530404,13.373386,CET,MacOS,2.77,1344.28,2025-02-25 19:45:00,5.835836987137934
112,229.36.216.222,40.7128,-74.006,America/New_York,macOS,3.63,1310.02,2025-02-28 01:45:00,118.19598027691804
112,180.19.160.169,52.52,13.405,Europe/Berlin,macOS,14.07,550.82,2025-03-02 12:45:00,108.22054924553201
112,130.104.37.244,-33.9249,18.4241,Africa/Johannesburg,Windows,3.26,1073.54,2025-03-05 17:45:00,124.99486912144833
113,192.168.1.22,41.9028,12.4964,CET,iOS,3.9,280.0,2025-02-25 20:30:00,0.0
113,192.168.1.22,41.88856,12.448214,CET,iOS,4.19,1342.63,2025-02-25 21:13:00,5.987648361060475
113,142.128.43.227,25.276987,55.296249,Asia/Dubai,iOS,9.02,634.08,2025-02-28 10:13:00,70.84414142829945
113,11.226.84.213,19.076,72.8777,Asia/Kolkata,iOS,8.48,521.37,2025-03-02 11:13:00,39.49028011480013
113,199.157.249.166,25.276987,55.296249,Asia/Dubai,Windows,14.23,475.48,2025-03-05 10:13:00,27.253855290495864
114,192.168.1.23,40.4168,-3.7038,CET,Android,4.1,310.0,2025-02-25 21:40:00,0.0
114,192.168.1.23,40.459776,-3.725714,CET,Android,5.68,1538.82,2025-02-25 22:31:00,6.030571259341728
114,244.202.128.162,19.076,72.8777,Asia/Mumbai,Windows,12.71,1844.42,2025-02-28 14:31:00,117.70672445633484
114,189.129.13.114,-33.8688,151.2093,Australia/Sydney,Windows,6.49,1051.94,2025-03-03 08:31:00,153.89140297410262
114,84.173.134.37,39.9042,116.4074,Asia/Shanghai,Linux,13.35,1451.17,2025-03-06 04:31:00,131.5911910837403
115,192.168.1.24,1.3521,103.82,SGT,Linux,4.7,290.0,2025-02-25 22:50:00,0.0
115,192.168.1.24,1.311437,103.772358,SGT,Linux,5.39,1406.32,2025-02-26 00:00:00,5.96888661307747
115,126.210.240.217,43.65107,-79.347015,America/Toronto,Windows,10.41,1782.39,2025-02-28 08:00:00,267.96159008977355
115,223.126.31.123,25.276987,55.296249,Asia/Dubai,Linux,7.39,1143.11,2025-03-02 10:00:00,221.27418583105543
115,70.183.244.154,39.9042,116.4074,Asia/Shanghai,macOS,12.82,865.56,2025-03-05 01:00:00,92.62708238972554
